x,y,z,block,state,phase
14,64,10,minecraft:stone_bricks,"{}","main: foundation"
15,64,10,minecraft:stone_bricks,"{}","main: foundation"
16,64,10,minecraft:stone_bricks,"{}","main: foundation"
0,64,11,minecraft:stone_bricks,"{}","main: foundation"
1,64,11,minecraft:stone_bricks,"{}","main: foundation"
2,64,11,minecraft:stone_bricks,"{}","main: foundation"
3,64,11,minecraft:stone_bricks,"{}","main: foundation"
4,64,11,minecraft:stone_bricks,"{}","main: foundation"
5,64,11,minecraft:stone_bricks,"{}","main: foundation"
6,64,11,minecraft:stone_bricks,"{}","main: foundation"
7,64,11,minecraft:stone_bricks,"{}","main: foundation"
8,64,11,minecraft:stone_bricks,"{}","main: foundation"
9,64,11,minecraft:stone_bricks,"{}","main: foundation"
10,64,11,minecraft:stone_bricks,"{}","main: foundation"
11,64,11,minecraft:stone_bricks,"{}","main: foundation"
12,64,11,minecraft:stone_bricks,"{}","main: foundation"
13,64,11,minecraft:stone_bricks,"{}","main: foundation"
14,64,11,minecraft:stone_bricks,"{}","main: foundation"
15,64,11,minecraft:stone_bricks,"{}","main: foundation"
16,64,11,minecraft:stone_bricks,"{}","main: foundation"
0,64,12,minecraft:stone_bricks,"{}","main: foundation"
1,64,12,minecraft:stone_bricks,"{}","main: foundation"
2,64,12,minecraft:stone_bricks,"{}","main: foundation"
3,64,12,minecraft:stone_bricks,"{}","main: foundation"
4,64,12,minecraft:stone_bricks,"{}","main: foundation"
5,64,12,minecraft:stone_bricks,"{}","main: foundation"
6,64,12,minecraft:stone_bricks,"{}","main: foundation"
7,64,12,minecraft:stone_bricks,"{}","main: foundation"
8,64,12,minecraft:stone_bricks,"{}","main: foundation"
9,64,12,minecraft:stone_bricks,"{}","main: foundation"
10,64,12,minecraft:stone_bricks,"{}","main: foundation"
11,64,12,minecraft:stone_bricks,"{}","main: foundation"
12,64,12,minecraft:stone_bricks,"{}","main: foundation"
13,64,12,minecraft:stone_bricks,"{}","main: foundation"
14,64,12,minecraft:stone_bricks,"{}","main: foundation"
15,64,12,minecraft:stone_bricks,"{}","main: foundation"
16,64,12,minecraft:stone_bricks,"{}","main: foundation"
0,65,0,minecraft:spruce_planks,"{}","main: floor"
1,65,0,minecraft:spruce_slab,"{""type"":""bottom"",""waterlogged"":false}","porch"
2,65,0,minecraft:spruce_slab,"{""type"":""bottom"",""waterlogged"":false}","porch"
3,65,0,minecraft:spruce_slab,"{""type"":""bottom"",""waterlogged"":false}","porch"
4,65,0,minecraft:spruce_slab,"{""type"":""bottom"",""waterlogged"":false}","porch"
5,65,0,minecraft:spruce_slab,"{""type"":""bottom"",""waterlogged"":false}","porch"
6,65,0,minecraft:spruce_slab,"{""type"":""bottom"",""waterlogged"":false}","porch"
7,65,0,minecraft:spruce_slab,"{""type"":""bottom"",""waterlogged"":false}","porch"
8,65,0,minecraft:spruce_slab,"{""type"":""bottom"",""waterlogged"":false}","porch"
9,65,0,minecraft:spruce_slab,"{""type"":""bottom"",""waterlogged"":false}","porch"
10,65,0,minecraft:spruce_slab,"{""type"":""bottom"",""waterlogged"":false}","porch"
11,65,0,minecraft:spruce_slab,"{""type"":""bottom"",""waterlogged"":false}","porch"
12,65,0,minecraft:spruce_slab,"{""type"":""bottom"",""waterlogged"":false}","porch"
13,65,0,minecraft:spruce_slab,"{""type"":""bottom"",""waterlogged"":false}","porch"
14,65,0,minecraft:spruce_slab,"{""type"":""bottom"",""waterlogged"":false}","porch"
15,65,0,minecraft:spruce_slab,"{""type"":""bottom"",""waterlogged"":false}","porch"
16,65,0,minecraft:spruce_planks,"{}","main: floor"
0,65,1,minecraft:spruce_planks,"{}","main: floor"
1,65,1,minecraft:spruce_planks,"{}","main: floor"
2,65,1,minecraft:spruce_planks,"{}","main: floor"
3,65,1,minecraft:spruce_planks,"{}","main: floor"
4,65,1,minecraft:spruce_planks,"{}","main: floor"
5,65,1,minecraft:spruce_planks,"{}","main: floor"
6,65,1,minecraft:spruce_planks,"{}","main: floor"
7,65,1,minecraft:spruce_planks,"{}","main: floor"
8,65,1,minecraft:spruce_planks,"{}","main: floor"
9,65,1,minecraft:spruce_planks,"{}","main: floor"
10,65,1,minecraft:spruce_planks,"{}","main: floor"
11,65,1,minecraft:spruce_planks,"{}","main: floor"
12,65,1,minecraft:spruce_planks,"{}","main: floor"
13,65,1,minecraft:spruce_planks,"{}","main: floor"
14,65,1,minecraft:spruce_planks,"{}","main: floor"
15,65,1,minecraft:spruce_planks,"{}","main: floor"
16,65,1,minecraft:spruce_planks,"{}","main: floor"
0,65,2,minecraft:spruce_planks,"{}","main: floor"
1,65,2,minecraft:spruce_planks,"{}","main: floor"
2,65,2,minecraft:spruce_planks,"{}","main: floor"
3,65,2,minecraft:spruce_planks,"{}","main: floor"
4,65,2,minecraft:spruce_planks,"{}","main: floor"
5,65,2,minecraft:spruce_planks,"{}","main: floor"
6,65,2,minecraft:spruce_planks,"{}","main: floor"
7,65,2,minecraft:spruce_planks,"{}","main: floor"
8,65,2,minecraft:spruce_planks,"{}","main: floor"
9,65,2,minecraft:spruce_planks,"{}","main: floor"
10,65,2,minecraft:spruce_planks,"{}","main: floor"
11,65,2,minecraft:spruce_planks,"{}","main: floor"
12,65,2,minecraft:spruce_planks,"{}","main: floor"
13,65,2,minecraft:spruce_planks,"{}","main: floor"
14,65,2,minecraft:spruce_planks,"{}","main: floor"
15,65,2,minecraft:spruce_planks,"{}","main: floor"
16,65,2,minecraft:spruce_planks,"{}","main: floor"
0,65,3,minecraft:spruce_planks,"{}","main: floor"
1,65,3,minecraft:spruce_planks,"{}","main: floor"
2,65,3,minecraft:spruce_planks,"{}","main: floor"
3,65,3,minecraft:spruce_planks,"{}","main: floor"
4,65,3,minecraft:spruce_planks,"{}","main: floor"
5,65,3,minecraft:spruce_planks,"{}","main: floor"
6,65,3,minecraft:spruce_planks,"{}","main: floor"
7,65,3,minecraft:spruce_planks,"{}","main: floor"
8,65,3,minecraft:spruce_planks,"{}","main: floor"
9,65,3,minecraft:spruce_planks,"{}","main: floor"
10,65,3,minecraft:spruce_planks,"{}","main: floor"
11,65,3,minecraft:spruce_planks,"{}","main: floor"
12,65,3,minecraft:spruce_planks,"{}","main: floor"
13,65,3,minecraft:spruce_planks,"{}","main: floor"
14,65,3,minecraft:spruce_planks,"{}","main: floor"
15,65,3,minecraft:spruce_planks,"{}","main: floor"
16,65,3,minecraft:spruce_planks,"{}","main: floor"
0,65,4,minecraft:spruce_planks,"{}","main: floor"
1,65,4,minecraft:spruce_planks,"{}","main: floor"
2,65,4,minecraft:spruce_planks,"{}","main: floor"
3,65,4,minecraft:spruce_planks,"{}","main: floor"
4,65,4,minecraft:spruce_planks,"{}","main: floor"
5,65,4,minecraft:spruce_planks,"{}","main: floor"
6,65,4,minecraft:spruce_planks,"{}","main: floor"
7,65,4,minecraft:spruce_planks,"{}","main: floor"
8,65,4,minecraft:spruce_planks,"{}","main: floor"
9,65,4,minecraft:spruce_planks,"{}","main: floor"
10,65,4,minecraft:spruce_planks,"{}","main: floor"
11,65,4,minecraft:spruce_planks,"{}","main: floor"
12,65,4,minecraft:spruce_planks,"{}","main: floor"
13,65,4,minecraft:spruce_planks,"{}","main: floor"
14,65,4,minecraft:spruce_planks,"{}","main: floor"
15,65,4,minecraft:spruce_planks,"{}","main: floor"
16,65,4,minecraft:spruce_planks,"{}","main: floor"
0,65,5,minecraft:spruce_planks,"{}","main: floor"
1,65,5,minecraft:spruce_planks,"{}","main: floor"
2,65,5,minecraft:spruce_planks,"{}","main: floor"
3,65,5,minecraft:spruce_planks,"{}","main: floor"
4,65,5,minecraft:spruce_planks,"{}","main: floor"
5,65,5,minecraft:spruce_planks,"{}","main: floor"
6,65,5,minecraft:spruce_planks,"{}","main: floor"
7,65,5,minecraft:spruce_planks,"{}","main: floor"
8,65,5,minecraft:spruce_planks,"{}","main: floor"
9,65,5,minecraft:spruce_planks,"{}","main: floor"
10,65,5,minecraft:spruce_planks,"{}","main: floor"
11,65,5,minecraft:spruce_planks,"{}","main: floor"
12,65,5,minecraft:spruce_planks,"{}","main: floor"
13,65,5,minecraft:spruce_planks,"{}","main: floor"
14,65,5,minecraft:spruce_planks,"{}","main: floor"
15,65,5,minecraft:spruce_planks,"{}","main: floor"
16,65,5,minecraft:spruce_planks,"{}","main: floor"
0,65,6,minecraft:spruce_planks,"{}","main: floor"
1,65,6,minecraft:spruce_planks,"{}","main: floor"
2,65,6,minecraft:spruce_planks,"{}","main: floor"
3,65,6,minecraft:spruce_planks,"{}","main: floor"
4,65,6,minecraft:spruce_planks,"{}","main: floor"
5,65,6,minecraft:spruce_planks,"{}","main: floor"
6,65,6,minecraft:spruce_planks,"{}","main: floor"
7,65,6,minecraft:spruce_planks,"{}","main: floor"
8,65,6,minecraft:spruce_planks,"{}","main: floor"
9,65,6,minecraft:spruce_planks,"{}","main: floor"
10,65,6,minecraft:spruce_planks,"{}","main: floor"
11,65,6,minecraft:spruce_planks,"{}","main: floor"
12,65,6,minecraft:spruce_planks,"{}","main: floor"
13,65,6,minecraft:spruce_planks,"{}","main: floor"
14,65,6,minecraft:spruce_planks,"{}","main: floor"
15,65,6,minecraft:spruce_planks,"{}","main: floor"
16,65,6,minecraft:spruce_planks,"{}","main: floor"
0,65,7,minecraft:spruce_planks,"{}","main: floor"
1,65,7,minecraft:spruce_planks,"{}","main: floor"
2,65,7,minecraft:spruce_planks,"{}","main: floor"
3,65,7,minecraft:spruce_planks,"{}","main: floor"
4,65,7,minecraft:spruce_planks,"{}","main: floor"
5,65,7,minecraft:spruce_planks,"{}","main: floor"
6,65,7,minecraft:spruce_planks,"{}","main: floor"
7,65,7,minecraft:spruce_planks,"{}","main: floor"
8,65,7,minecraft:spruce_planks,"{}","main: floor"
9,65,7,minecraft:spruce_planks,"{}","main: floor"
10,65,7,minecraft:spruce_planks,"{}","main: floor"
11,65,7,minecraft:spruce_planks,"{}","main: floor"
12,65,7,minecraft:spruce_planks,"{}","main: floor"
13,65,7,minecraft:spruce_planks,"{}","main: floor"
14,65,7,minecraft:spruce_planks,"{}","main: floor"
15,65,7,minecraft:spruce_planks,"{}","main: floor"
16,65,7,minecraft:spruce_planks,"{}","main: floor"
0,65,8,minecraft:spruce_planks,"{}","main: floor"
1,65,8,minecraft:spruce_planks,"{}","main: floor"
2,65,8,minecraft:spruce_planks,"{}","main: floor"
3,65,8,minecraft:spruce_planks,"{}","main: floor"
4,65,8,minecraft:spruce_planks,"{}","main: floor"
5,65,8,minecraft:spruce_planks,"{}","main: floor"
6,65,8,minecraft:spruce_planks,"{}","main: floor"
7,65,8,minecraft:spruce_planks,"{}","main: floor"
8,65,8,minecraft:spruce_planks,"{}","main: floor"
9,65,8,minecraft:spruce_planks,"{}","main: floor"
10,65,8,minecraft:spruce_planks,"{}","main: floor"
11,65,8,minecraft:spruce_planks,"{}","main: floor"
12,65,8,minecraft:spruce_planks,"{}","main: floor"
13,65,8,minecraft:spruce_planks,"{}","main: floor"
14,65,8,minecraft:spruce_planks,"{}","main: floor"
15,65,8,minecraft:spruce_planks,"{}","main: floor"
16,65,8,minecraft:spruce_planks,"{}","main: floor"
0,65,9,minecraft:spruce_planks,"{}","main: floor"
1,65,9,minecraft:spruce_planks,"{}","main: floor"
2,65,9,minecraft:spruce_planks,"{}","main: floor"
3,65,9,minecraft:spruce_planks,"{}","main: floor"
4,65,9,minecraft:spruce_planks,"{}","main: floor"
5,65,9,minecraft:spruce_planks,"{}","main: floor"
6,65,9,minecraft:spruce_planks,"{}","main: floor"
7,65,9,minecraft:spruce_planks,"{}","main: floor"
8,65,9,minecraft:spruce_planks,"{}","main: floor"
9,65,9,minecraft:spruce_planks,"{}","main: floor"
10,65,9,minecraft:spruce_planks,"{}","main: floor"
11,65,9,minecraft:spruce_planks,"{}","main: floor"
12,65,9,minecraft:spruce_planks,"{}","main: floor"
13,65,9,minecraft:spruce_planks,"{}","main: floor"
14,65,9,minecraft:spruce_planks,"{}","main: floor"
15,65,9,minecraft:spruce_planks,"{}","main: floor"
16,65,9,minecraft:spruce_planks,"{}","main: floor"
0,65,10,minecraft:spruce_planks,"{}","main: floor"
1,65,10,minecraft:spruce_planks,"{}","main: floor"
2,65,10,minecraft:spruce_planks,"{}","main: floor"
3,65,10,minecraft:spruce_planks,"{}","main: floor"
4,65,10,minecraft:spruce_planks,"{}","main: floor"
5,65,10,minecraft:spruce_planks,"{}","main: floor"
6,65,10,minecraft:spruce_planks,"{}","main: floor"
7,65,10,minecraft:spruce_planks,"{}","main: floor"
8,65,10,minecraft:spruce_planks,"{}","main: floor"
9,65,10,minecraft:spruce_planks,"{}","main: floor"
10,65,10,minecraft:spruce_planks,"{}","main: floor"
11,65,10,minecraft:spruce_planks,"{}","main: floor"
12,65,10,minecraft:spruce_planks,"{}","main: floor"
13,65,10,minecraft:spruce_planks,"{}","main: floor"
14,65,10,minecraft:spruce_planks,"{}","main: floor"
15,65,10,minecraft:spruce_planks,"{}","main: floor"
16,65,10,minecraft:spruce_planks,"{}","main: floor"
0,65,11,minecraft:spruce_planks,"{}","main: floor"
1,65,11,minecraft:spruce_planks,"{}","main: floor"
2,65,11,minecraft:spruce_planks,"{}","main: floor"
3,65,11,minecraft:spruce_planks,"{}","main: floor"
4,65,11,minecraft:spruce_planks,"{}","main: floor"
5,65,11,minecraft:spruce_planks,"{}","main: floor"
6,65,11,minecraft:spruce_planks,"{}","main: floor"
7,65,11,minecraft:spruce_planks,"{}","main: floor"
8,65,11,minecraft:spruce_planks,"{}","main: floor"
9,65,11,minecraft:spruce_planks,"{}","main: floor"
10,65,11,minecraft:spruce_planks,"{}","main: floor"
11,65,11,minecraft:spruce_planks,"{}","main: floor"
12,65,11,minecraft:spruce_planks,"{}","main: floor"
13,65,11,minecraft:spruce_planks,"{}","main: floor"
14,65,11,minecraft:spruce_planks,"{}","main: floor"
15,65,11,minecraft:spruce_planks,"{}","main: floor"
16,65,11,minecraft:spruce_planks,"{}","main: floor"
0,65,12,minecraft:spruce_planks,"{}","main: floor"
1,65,12,minecraft:spruce_planks,"{}","main: floor"
2,65,12,minecraft:spruce_planks,"{}","main: floor"
3,65,12,minecraft:spruce_planks,"{}","main: floor"
4,65,12,minecraft:spruce_planks,"{}","main: floor"
5,65,12,minecraft:spruce_planks,"{}","main: floor"
6,65,12,minecraft:spruce_planks,"{}","main: floor"
7,65,12,minecraft:spruce_planks,"{}","main: floor"
8,65,12,minecraft:spruce_planks,"{}","main: floor"
9,65,12,minecraft:spruce_planks,"{}","main: floor"
10,65,12,minecraft:spruce_planks,"{}","main: floor"
11,65,12,minecraft:spruce_planks,"{}","main: floor"
12,65,12,minecraft:spruce_planks,"{}","main: floor"
13,65,12,minecraft:spruce_planks,"{}","main: floor"
14,65,12,minecraft:spruce_planks,"{}","main: floor"
15,65,12,minecraft:spruce_planks,"{}","main: floor"
16,65,12,minecraft:spruce_planks,"{}","main: floor"
0,66,0,minecraft:stripped_spruce_log,"{""axis"":""y""}","frame"
1,66,0,minecraft:spruce_planks,"{}","main: walls"
2,66,0,minecraft:spruce_planks,"{}","main: walls"
3,66,0,minecraft:spruce_planks,"{}","main: walls"
4,66,0,minecraft:spruce_planks,"{}","main: walls"
5,66,0,minecraft:spruce_planks,"{}","main: walls"
6,66,0,minecraft:stripped_spruce_log,"{""axis"":""y""}","frame"
7,66,0,minecraft:spruce_door,"{""half"":""lower"",""facing"":""south"",""hinge"":""left"",""open"":false,""powered"":false}","openings"
8,66,0,minecraft:spruce_planks,"{}","main: walls"
9,66,0,minecraft:spruce_planks,"{}","main: walls"
10,66,0,minecraft:spruce_planks,"{}","main: walls"
11,66,0,minecraft:spruce_planks,"{}","main: walls"
12,66,0,minecraft:stripped_spruce_log,"{""axis"":""y""}","frame"
13,66,0,minecraft:spruce_planks,"{}","main: walls"
14,66,0,minecraft:spruce_planks,"{}","main: walls"
15,66,0,minecraft:spruce_planks,"{}","main: walls"
16,66,0,minecraft:spruce_planks,"{}","main: walls"
0,66,1,minecraft:spruce_planks,"{}","main: walls"
16,66,1,minecraft:spruce_planks,"{}","main: walls"
0,66,2,minecraft:spruce_planks,"{}","main: walls"
16,66,2,minecraft:spruce_planks,"{}","main: walls"
0,66,3,minecraft:spruce_planks,"{}","main: walls"
16,66,3,minecraft:spruce_planks,"{}","main: walls"
0,66,4,minecraft:spruce_planks,"{}","main: walls"
16,66,4,minecraft:spruce_planks,"{}","main: walls"
0,66,5,minecraft:spruce_planks,"{}","main: walls"
16,66,5,minecraft:spruce_planks,"{}","main: walls"
0,66,6,minecraft:spruce_planks,"{}","main: walls"
16,66,6,minecraft:spruce_planks,"{}","main: walls"
0,66,7,minecraft:spruce_planks,"{}","main: walls"
16,66,7,minecraft:spruce_planks,"{}","main: walls"
0,66,8,minecraft:spruce_planks,"{}","main: walls"
16,66,8,minecraft:spruce_planks,"{}","main: walls"
0,66,9,minecraft:spruce_planks,"{}","main: walls"
16,66,9,minecraft:spruce_planks,"{}","main: walls"
0,66,10,minecraft:spruce_planks,"{}","main: walls"
16,66,10,minecraft:spruce_planks,"{}","main: walls"
